Group.1,x,Group.1,x
1,20.625,1,2.55606771092965
2,22.3333333333333,2,3.04594448041618
3,10,3,NA
4,14,4,2.3094010767585
6,15.3333333333333,6,1.76383420737639
7,15.8333333333333,7,3.42944763935989
8,20,8,NA
9,16,9,0.730296743340222
11,22.4444444444444,11,1.85675277411871
14,17.7142857142857,14,1.47542222712664
15,17,15,NA
